"filename", "language", "Markdown", "JSON", "Java Properties", "Groovy", "JSON with Comments", "Java", "Batch", "comment", "blank", "total"
"c:\MechaRams\2026Prototyping\QuestVibeGPT\.wpilib\wpilib_preferences.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\MechaRams\2026Prototyping\QuestVibeGPT\WPILib-License.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\MechaRams\2026Prototyping\QuestVibeGPT\build.gradle", "Groovy", 0, 0, 0, 64, 0, 0, 0, 20, 21, 105
"c:\MechaRams\2026Prototyping\QuestVibeGPT\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\MechaRams\2026Prototyping\QuestVibeGPT\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 41, 32, 22, 95
"c:\MechaRams\2026Prototyping\QuestVibeGPT\settings.gradle", "Groovy", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\MechaRams\2026Prototyping\QuestVibeGPT\simgui-ds.json", "JSON", 0, 105, 0, 0, 0, 0, 0, 0, 1, 106
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\deploy\pathplanner\navgrid.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\deploy\pathplanner\settings.json", "JSON with Comments", 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Constants.java", "Java", 0, 0, 0, 0, 0, 162, 0, 21, 35, 218
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Controller.java", "Java", 0, 0, 0, 0, 0, 137, 0, 26, 26, 189
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 0, 8, 0, 3, 5, 16
